Senior Officials Name,Start date of trip,Duration of Visit (Days )Please round this up to the no of days,"Destination - Format must be City, Country","Purpose of trip - Please clearly state the purpose of each trip in detail, ie External meeting must be External meeting with ABC INCORPORATED",Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given) - Any other costs of the trip,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Thomas Wechsler,22/11/2022,2,"Salisbury,UK",Defence Science and Technology Laboratory Visit,"Rail,Taxi",Standard,96,Nil Return,177.48,Nil Return
Thomas Wechsler,01/12/2022,1,"London,UK",Late night working event ,Taxi,Standard,10,Nil Return,10,Nil Return
Thomas Wechsler,05/12/2022,1,"London,UK",To attend in person meeting ,Taxi,Standard,7.7,Nil Return,7.7,Nil Return
Thomas Wechsler,13/12/2022,1,"London,UK",Internal in person meeting - hotel required due to rail strikes,Nil Return,Standard,125.96,89.31,125.96,Nil Return
Tiwalola Fadina,12/12/2022,1,"Windsor,UK",Attending Training ,Rail,Standard,Nil Return,Nil Return,11.85,Nil Return
Tirth Benning ,04/10/2022,1,"Leeds,UK",Site Visit ,Rail ,Standard,Nil Return,Nil Return,254.25,Nil Return
Tirth Benning ,11/10/2022,1,"Hastings,UK",Site Visit ,Rail,Standard,Nil Return,Nil Return,87.75,Nil Return 
Tirth Benning ,31/10/2022,1,"Bristol,UK",Interviewing ,Rail ,Standard,Nil Return,Nil Return,192.05,Nil Return 
Tirth Benning ,01/11/2022,2,"Birmingham,UK",Directors' AwayDay ,Rail ,Standard,130.38,Nil Return,319.43,Nil Return 
Tim Wood,04/10/2022,2,"London,UK",INTERNAL MEETING,Rail,Nil Return,89.31,Nil Return,89.31,Nil Return 
Tim Wood,04/10/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,80.15,Nil Return,80.15,Nil Return 
Tim Wood,07/10/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,76.55,Nil Return,76.55,Nil Return 
Tim Wood,19/10/2022,2,"London,UK",INTERNAL MEETING,Rail,Nil Return,176.22,Nil Return,176.22,Nil Return 
Tim Wood,21/10/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,73.65,Nil Return,73.65,Nil Return 
Tim Wood,27/10/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,241.25,Nil Return,241.25,Nil Return 
Tim Wood,01/11/2022,1,"Leeds,UK",INTERNAL MEETING,Rail,Standard,25.25,Nil Return,25.25,Nil Return 
Tim Wood,07/11/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,97.4,Nil Return 
Tim Wood,07/11/2022,2,"London,UK",INTERNAL MEETING,Rail,Nil Return,176.22,Nil Return,176.22,Nil Return 
Tim Wood,10/11/2022,1,"Manchester,UK ",Attendence at Trans City Rail Conference (Rail + Hotel),Rail,Standard,92.4,30,120.7,Nil Return 
Tim Wood,15/11/2022,2,"London,UK",INTERNAL MEETING,Rail,Standard,150.9,Nil Return,150.9,Nil Return 
Tim Wood,15/11/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,109.25,Nil Return,109.25,Nil Return 
Tim Wood,17/11/2022,1,"Birmingham,UK",INTERNAL MEETING,Rail,Standard,59.35,Nil Return,59.35,Nil Return 
Tim Wood,22/11/2022,1,"Leeds,UK",INTERNAL MEETING,Rail,Standard,26,Nil Return,26,Nil Return 
Tim Wood,23/11/2022,3,"London,UK",INTERNAL MEETING & Hotel,Rail,Standard,89.31,237.75,326.81,Nil Return 
Tim Wood,28/11/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,109,Nil Return 
Tim Wood,01/12/2022,2,"London,UK",INTERNAL MEETING & Hotel,Rail,Standard,117.95,109.25,226.95,Nil Return 
Tim Wood,06/12/2022,1,"London,UK",INTERNAL MEETING,Rail,Standard,Nil Return,Nil Return,115,Nil Return 
Tim Wood,09/12/2022,1,"Derby,UK",MEETING WITH Rail Forum CEO,Rail,Standard,Nil Return,Nil Return,141.3,Nil Return 
