Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-02,UK Chamber of Shipping (UKCoS); Compagnie Maritime d'Affrètement (CMA) and Compagnie Générale Maritime (CMA CGM); MSC Cruises; Cosco; Evergreen; Ocean Network Express (ONE); P&O Ferries; Brittany Ferries; Stena Line; Det Forenede Dampskibs-Selskab (DFDS); Seatruck Ferries; Red Funnel Ferries; Wightlink; Hovertravel,To discuss the impact of Covid-19 on the Shipping/Ferry sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-06,UK Maritime Pilots Association (UKMPA); British Tugowners Association (BTA);  The Workboat Association,To discuss the impact of Covid-19 on the port services industry,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-07,Civil Aviation Authority (CAA); Airport Operators' Association (AOA); Aberdeen Airport; Glasgow Airport; Southampton Airport; Belfast City Airport; Belfast International Airport; Bristol Airport; Leeds Bradford Airport; Liverpool Airport; London City Airport; Newcastle Airport; London Southend Airport,To discuss the economic impact of Covid-19 on airports and the furlough scheme,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-07,Civil Aviation Authority (CAA); Airport Operators' Association (AOA);  Birmingham Airport; Edinburgh Airport; Gatwick Airport; Heathrow Airport; Luton Airport; Manchester Airport; Stansted Airport; East Midlands Airport,To discuss the economic impact of Covid-19 on airports and the furlough scheme,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-08,"2 Excel, British Airways (BA), DHL, easyJet, Jet2.com, Jota Aviation, Norwegian, Ryanair, Titan, TUI, Virgin Atlantic, West Atlantic, Airlines UK, Loganair, Eastern, Blue Islands, Wizz Air, Board of Airline Representatives in the UK (BAR UK), International Air Transport Association (IATA), Aerospace, Defence, Security & Space (ADS), International Airlines Group (IAG) ",To discuss the impact of Covid-19 on the aviation sector and passenger measures,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-08,FleishmanHillard Fushburn (FHF London); Worldwide Flight Services; Dnata (Dubai National Air Transport Association); Swissport; Menzies Aviation,To discuss the economic impact of Covid-19 on Ground Handling companies,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-09,UK Chamber of Shipping (UKCoS); CMA CGM; MSC Cruises; Cosco; Evergreen; ONE; P&O Ferries; Brittany Ferries; Stena Line; (Det Forenede Dampskibs-Selskab) DFDS; Seatruck Ferries; CLdN Cobelfret; Red Funnel Ferries; Wightlink; Hovertravel,To discuss the impact of Covid-19 on the Shipping/Ferry sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-14,"AOA, Aberdeen, Glasgow, Southampton Airports (AGS), Belfast City, Belfast International, Bristol, Leeds Bradford, Liverpool, London City, Newcastle, Stobart group, Southend Airport",To discuss the impact of Covid-19 on the airport sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-14,"AOA, Birmingham, Edinburgh, Gatwick, Heathrow, Luton, Manchester Airports Group (MAG), East Midlands, Regional and Business Airports Group (RABA)",To discuss the impact of Covid-19 on the airport sector,,,,,,,,,,,,,,,,,,,,,,
Kelly Tolhurst,2020-04-15,"2 Excel, British Airways (BA), Dalsey, Hillblom and Lynn (DHL), easyJet, Jet2.com, Jota Aviation, Norwegian, Ryanair, Titan, Touristik Union International Aktiengesellschaft (TUI), Virgin, West Atlantic, Airlines UK, Loganair, Eastern, Blue Islands, Wizz Air, Board of Airline Representatives in the UK (BAR UK), International Air Transport Association (IATA), Aerospace, Defence, Security & Space (ADS), International Airlines Group (IAG) ",To discuss the impact of Covid-19 on the airline sector,,,,,,,,,,,,,,,,,,,,,,
